Date,measles symptoms,measles rash,symptoms of measles,measles pictures
4/20/14,6,5,3,1
4/27/14,5,5,1,1
5/4/14,4,4,2,1
5/11/14,4,5,2,2
5/18/14,3,4,2,2
5/25/14,5,6,1,3
6/1/14,4,5,1,2
6/8/14,3,4,1,2
6/15/14,3,3,1,1
6/22/14,2,4,1,1
6/29/14,3,5,1,2
7/6/14,2,2,1,2
7/13/14,2,3,1,2
7/20/14,2,2,<1,1
7/27/14,1,3,<1,1
8/3/14,2,3,1,1
8/10/14,1,3,<1,1
8/17/14,1,2,<1,1
8/24/14,1,2,<1,1
8/31/14,2,2,1,1
9/7/14,2,2,<1,1
9/14/14,2,2,<1,1
9/21/14,2,2,1,1
9/28/14,2,2,1,1
10/5/14,2,2,1,1
10/12/14,1,2,1,1
10/19/14,2,2,1,1
10/26/14,2,2,1,1
11/2/14,2,2,<1,1
11/9/14,1,2,<1,1
11/16/14,2,2,<1,1
11/23/14,2,2,1,1
11/30/14,2,1,1,1
12/7/14,2,1,1,1
12/14/14,2,2,1,1
12/21/14,2,3,<1,1
12/28/14,3,3,1,1
1/4/15,12,4,3,3
1/11/15,14,4,4,2
1/18/15,38,8,10,5
1/25/15,69,14,17,7
2/1/15,100,22,28,13
2/8/15,52,19,16,8
2/15/15,32,13,9,5
2/22/15,19,9,5,3
3/1/15,16,7,4,3
3/8/15,10,6,3,3
3/15/15,6,4,2,2
3/22/15,6,4,2,2
3/29/15,5,4,1,1
4/5/15,5,3,1,1
4/12/15,5,3,1,2
4/19/15,7,4,3,1
4/26/15,4,3,2,1
5/3/15,5,3,2,1
5/10/15,5,3,2,1
5/17/15,4,2,1,1
5/24/15,2,2,1,1
5/31/15,2,2,1,1
6/7/15,2,3,1,1
6/14/15,1,3,1,1
6/21/15,1,4,<1,1
6/28/15,3,4,1,1
7/5/15,2,2,1,1
7/12/15,2,2,<1,1
7/19/15,2,3,<1,<1
7/26/15,2,3,<1,1
8/2/15,2,2,1,1
8/9/15,2,2,<1,1
8/16/15,2,2,<1,1
8/23/15,3,2,<1,1
8/30/15,3,2,1,1
9/6/15,2,2,1,1
9/13/15,3,2,<1,1
9/20/15,4,3,1,1
9/27/15,3,2,1,1
10/4/15,2,2,<1,1
10/11/15,2,3,1,1
10/18/15,2,4,1,1
10/25/15,2,3,1,1
11/1/15,1,2,<1,1
11/8/15,2,2,1,1
11/15/15,1,2,1,1
11/22/15,2,2,1,1
11/29/15,2,2,1,<1
12/6/15,2,3,1,1
12/13/15,1,3,1,1
