Location,Country,Disease,Species,HM Alert ID,Headline,URL,Issue Date,Tag ,Long,Lat
"Maine, United States",United States,Measles,Humans,6402098,Measles Outbreak in Mass. Causing Concern for Maine Residents - wokq.com,https://wokq.com/measles-outbreak-in-mass-causing-concern-for-maine-residents/,4/3/19 7:21,Breaking,-69.257896,45.490898
"New York City, New York State, United States",United States,Measles,Humans,6401621,Measles Outbreak In Jewish Suburbs Shocks Latinos - Forward,https://forward.com/news/national/421623/measles-emergency-hasidic-latino-rockland-county/,4/3/19 5:00,Breaking,-74.003998,40.713902
"Kentucky, United States",United States,Measles,Humans,6401613,Get the Shots - Bacon's Rebellion,https://www.baconsrebellion.com/wp/get-the-shots/,4/1/19 9:35,Breaking,-84.462898,37.439899
"Rhode Island, United States",United States,Measles,Humans,6401558,Measles cases prompt reminder in R.I.: Vaccine is effective - The Providence Journal,https://www.providencejournal.com/news/20190402/measles-cases-prompt-reminder-in-ri-vaccine-is-effective,4/2/19 19:31,Breaking,-71.4991,41.738499
"Wisconsin, United States",United States,Measles,Humans,6401208,Wisconsin moms wage war on anti-vaxxer neighbor by passing out letters about her to the community - Daily Mail,https://www.dailymail.co.uk/health/article-6879093/Wisconsin-moms-wage-war-anti-vaxxer-neighbor-passing-letters-community.html,4/2/19 17:59,Breaking,-90,44.496498
"Arizona, United States",United States,Measles,Humans,6400705,"Arizona part of second-largest measles outbreak since disease was eliminated, CDC says - 12news.com KPNX",https://www.12news.com/article/news/local/arizona/arizona-part-of-second-largest-measles-outbreak-since-disease-was-eliminated-cdc-says/75-c180a2ca-3d42-48cf-9b3f-98b759ae2e05,4/2/19 16:17,Breaking,-111.500298,34.500198
"Michigan, United States",United States,Measles,Humans,6400696,"Measles outbreak grows to 34 cases in Michigan, includes infant - Detroit Free Press",https://www.freep.com/story/news/local/michigan/2019/04/01/michigan-measles-outbreak-grows-30/3336203002/,4/1/19 18:37,Breaking,-84.462898,43.580299
"Rhode Island, United States",United States,Measles,Humans,6400480,RIDOH urges caution following confirmed Mass. Measles case - WLNE-TV (ABC6),http://www.abc6.com/story/40239212/ridoh-urges-caution-vigilance-in-light-of-mass-measles-case,4/2/19 13:56,Breaking,-71.4991,41.738499
"Massachusetts, United States",United States,Measles,Humans,6400480,RIDOH urges caution following confirmed Mass. Measles case - WLNE-TV (ABC6),http://www.abc6.com/story/40239212/ridoh-urges-caution-vigilance-in-light-of-mass-measles-case,4/2/19 13:56,Breaking,-71.7957,42.399101
"Texas, United States",United States,Measles,Humans,6400238,Texas bill grants anti-vaxxers freedom from vaccines - The Daily Toreador,http://www.dailytoreador.com/news/texas-bill-grants-anti-vaxxers-freedom-from-vaccines/article_49cf8e1a-5102-11e9-98be-53009d4fba95.html,3/27/19 22:36,Breaking,-99.2286,31.2409
United States,United States,Measles,Humans,6400235,"Doctor says ignoring vaccines puts community at risk - WTVY, Dothan",https://www.wtvy.com/content/news/Doctor-says-ignoring-vaccines-puts-community-at-risk-507751661.html,3/27/19 19:31,Breaking,-97.556099,39.96693
"Colorado, United States",United States,Measles,Humans,6398772,Measles outbreak spreads to Colorado - KJCT8.com,https://www.kjct8.com/content/news/Measles-outbreak-spreads-to-Colorado-507971121.html,4/1/19 19:23,Breaking,-105.512703,38.9935
"New York State, United States",United States,Measles,Humans,6398770,Measles Outbreak Causes Riff Between School Districts - CBS New York,https://newyork.cbslocal.com/video/4057638-measles-outbreak-causes-riff-between-school-districts/,4/1/19 19:01,Breaking,-75.4981,43.004601
"Illinois, United States",United States,Measles,Humans,6398693,Measles outbreak over in Champaign-Urbana - FOX Illinois,https://foxillinois.com/news/local/measles-outbreak-over-in-champaign-urbana,4/1/19 18:46,Breaking,-89.252998,40.0107
United States,United States,Measles,Humans,6398691,Can Biden escape 'creepy Uncle Joe'? - USA TODAY,https://www.usatoday.com/story/news/2019/04/01/southwest-airlines-joe-biden-donald-trump-measles-mondays-news/3331900002/,4/1/19 18:24,Breaking,-97.556099,39.96693
"Boston, Massachusetts, United States",United States,Measles,Humans,6398687,Measles case diagnosed in Boston: People warned of possible exposure - MassLive.com,https://www.masslive.com/news/2019/04/measles-case-diagnosed-in-boston-people-warned-of-possible-exposure.html,4/1/19 18:08,Breaking,-71.059601,42.358501
"California, United States",United States,Measles,Humans,6398572,California Public Health Officials Concerned About Rise In Measles Cases - HuffPost,https://www.huffpost.com/entry/california-measles-outbreak_n_5ca24c9de4b09786986a990b,4/1/19 15:13,Breaking,-119.750298,37.250198
"Utah, United States",United States,Measles,Humans,6398187,"Amid measles outbreak in US, how many cases in Utah? - KJZZ",https://kjzz.com/news/local/amid-measles-outbreak-in-us-how-many-cases-in-utah,4/1/19 13:41,Breaking,-111.752998,39.266201
"North Dakota, United States",United States,Measles,Humans,6398019,Personal belief exemptions for vaccinations increase in North Dakota - KFYR-TV,https://www.kfyrtv.com/content/news/Personal-belief-exemptions-for-vaccinations-increase-in-North-Dakota-507944741.html,4/1/19 11:21,Breaking,-100.0196,47.487499
"Washington, DC, United States",United States,Measles,Humans,6397913,"Washington outbreak factors into 2019 measles count, already more than 2018 - The Spokesman-Review",http://www.spokesman.com/stories/2019/apr/01/washington-outbreak-factors-into-2019-measles-coun/,4/1/19 11:32,Breaking,-77.036697,38.895
"San Diego, California, United States",United States,Measles,Humans,6397663,San Diego Doctors On High Alert For Measles - KPBS,https://www.kpbs.org/news/2019/apr/01/san-diego-doctors-high-alert-measles/,4/1/19 9:13,Breaking,-117.158302,32.713299
United States,United States,Measles,Humans,6397304,US teenagers taking vaccination into own hands amid fresh outbreaks of measles - Telegraph.co.uk,https://www.telegraph.co.uk/news/2019/03/31/us-teenagers-taking-vaccination-hands-amid-fresh-outbreaks-measles/,3/31/19 2:00,Breaking,-97.556099,39.96693
"Kansas, United States",United States,Measles,Humans,6397011,New mother exposes maternity ward and nursery to measles - Arutz Sheva,http://www.israelnationalnews.com/News/News.aspx/261203,4/1/19 0:39,Breaking,-98.481499,38.263699
"West Virginia, United States",United States,Measles,Humans,6396936,MEASLES KILLS FIVE: More than 300K kids in WV still unvaccinated - thedailyguardian.net,https://thedailyguardian.net/local-news/measles-kills-five-more-than-300k-kids-in-wv-still-unvaccinated/,3/31/19 16:35,Breaking,-80.507896,38.513699
"California, United States",United States,Measles,Humans,6396752,Measles vaccine advisory in Siskiyou County - KDRV,https://www.kdrv.com/content/news/Measles-vaccine-advisory-in-Siskiyou-County-507883511.html,3/30/19 13:19,Breaking,-119.750298,37.250198
"Oregon, United States",United States,Measles,Humans,6396752,Measles vaccine advisory in Siskiyou County - KDRV,https://www.kdrv.com/content/news/Measles-vaccine-advisory-in-Siskiyou-County-507883511.html,3/30/19 13:19,Breaking,-120.4981,43.992802
United States,United States,Measles,Humans,6396487,PRO/EDR> Measles update (22) ,http://promedmail.org/direct.php?id=20190331.6396487,3/31/19 19:18,No Tag,-97.556099,39.96693
"Hawaii, United States",United States,Measles,Humans,6396207,Big Isle not immune to growing number of vaccination exemptions - Hawaii Tribune-Herald (subscription),https://www.hawaiitribune-herald.com/2019/03/31/hawaii-news/big-isle-not-immune-to-growing-number-of-vaccination-exemptions/,3/31/19 6:05,Breaking,-156.500305,20.7502
"Pennsylvania, United States",United States,Measles,Humans,6396160,State Senator Daylin Leach (D) Announces Legislation to Deny Religious and Philosophical Objection to Vaccination - morethanthecurve.com,https://morethanthecurve.com/state-senator-daylin-leach-d-announces-legislation-to-deny-religious-and-philosophical-objection-to-vaccination/,3/30/19 18:44,Breaking,-77.475601,40.930099
