"","region","MMWR.Year","MMWR.Week","Week.End.Date","State.Cases.Current.Week","All.Cases.Current.Week","All.Cases.Cum.Week","Total.Cases.Year"
"1","alabama",2014,1,"1/4/14",NA,1,1,628
"2","alabama",2014,2,"1/11/14",NA,NA,1,628
"3","alabama",2014,3,"1/18/14",NA,4,6,628
"4","alabama",2014,4,"1/25/14",NA,NA,6,628
"5","alabama",2014,5,"2/1/14",NA,5,13,628
"6","alabama",2014,6,"2/8/14",NA,2,20,628
"7","alabama",2014,7,"2/15/14",NA,2,24,628
"8","alabama",2014,8,"2/22/14",NA,1,28,628
"9","alabama",2014,9,"3/1/14",NA,3,51,628
"10","alabama",2014,10,"4/8/14",NA,10,71,628
"11","alabama",2014,11,"4/15/14",NA,5,80,628
"12","alabama",2014,12,"3/22/14",NA,4,89,628
"13","alabama",2014,13,"3/29/14",NA,9,106,628
"14","alabama",2014,14,"4/5/14",NA,1,108,628
"15","alabama",2014,15,"4/12/14",NA,2,112,628
"16","alabama",2014,16,"4/19/14",NA,NA,120,628
"17","alabama",2014,17,"4/26/14",NA,14,134,628
"18","alabama",2014,18,"5/3/14",NA,20,161,628
"19","alabama",2014,19,"5/10/14",NA,27,188,628
"20","alabama",2014,20,"5/17/14",NA,28,220,628
"21","alabama",2014,21,"5/24/14",NA,87,307,628
"22","alabama",2014,22,"5/31/14",NA,29,335,628
"23","alabama",2014,23,"6/7/14",NA,65,402,628
"24","alabama",2014,24,"6/14/14",NA,1,403,628
"25","alabama",2014,25,"6/21/14",NA,26,503,628
"26","alabama",2014,26,"6/28/14",NA,22,532,628
"27","alabama",2014,27,"7/5/14",NA,8,548,628
"28","alabama",2014,28,"7/12/14",NA,3,552,628
"29","alabama",2014,29,"7/19/14",NA,3,568,628
"30","alabama",2014,30,"7/26/14",NA,7,578,628
"31","alabama",2014,31,"8/2/14",NA,NA,581,628
"32","alabama",2014,32,"8/9/14",NA,NA,582,628
"33","alabama",2014,33,"8/16/14",NA,1,577,628
"34","alabama",2014,34,"8/23/14",NA,15,593,628
"35","alabama",2014,35,"8/30/14",NA,NA,593,628
"36","alabama",2014,36,"9/6/14",NA,NA,593,628
"37","alabama",2014,37,"9/13/14",NA,1,593,628
"38","alabama",2014,38,"9/20/14",NA,1,595,628
"39","alabama",2014,39,"9/27/14",NA,NA,598,628
"40","alabama",2014,40,"10/4/14",NA,NA,598,628
"41","alabama",2014,41,"10/11/14",NA,2,599,628
"42","alabama",2014,42,"10/18/14",NA,NA,599,628
"43","alabama",2014,43,"10/25/14",NA,1,600,628
"44","alabama",2014,44,"11/1/14",NA,NA,599,628
"45","alabama",2014,45,"11/8/14",NA,NA,600,628
"46","alabama",2014,46,"11/15/14",NA,NA,608,628
"47","alabama",2014,47,"11/22/14",NA,NA,610,628
"48","alabama",2014,48,"11/29/14",NA,NA,610,628
"49","alabama",2014,49,"12/6/14",NA,NA,612,628
"50","alabama",2014,50,"12/13/14",NA,NA,609,628
"51","alabama",2014,51,"12/20/14",NA,5,614,628
"52","alabama",2014,52,"12/27/14",NA,NA,554,628
"53","alabama",2014,53,"1/3/15",NA,2,628,628
"54","alaska",2014,1,"1/4/14",NA,1,1,628
"55","alaska",2014,2,"1/11/14",NA,NA,1,628
"56","alaska",2014,3,"1/18/14",NA,4,6,628
"57","alaska",2014,4,"1/25/14",NA,NA,6,628
"58","alaska",2014,5,"2/1/14",NA,5,13,628
"59","alaska",2014,6,"2/8/14",NA,2,20,628
"60","alaska",2014,7,"2/15/14",NA,2,24,628
"61","alaska",2014,8,"2/22/14",NA,1,28,628
"62","alaska",2014,9,"3/1/14",NA,3,51,628
"63","alaska",2014,10,"4/8/14",NA,10,71,628
"64","alaska",2014,11,"4/15/14",NA,5,80,628
"65","alaska",2014,12,"3/22/14",NA,4,89,628
"66","alaska",2014,13,"3/29/14",NA,9,106,628
"67","alaska",2014,14,"4/5/14",NA,1,108,628
"68","alaska",2014,15,"4/12/14",NA,2,112,628
"69","alaska",2014,16,"4/19/14",NA,NA,120,628
"70","alaska",2014,17,"4/26/14",NA,14,134,628
"71","alaska",2014,18,"5/3/14",NA,20,161,628
"72","alaska",2014,19,"5/10/14",NA,27,188,628
"73","alaska",2014,20,"5/17/14",NA,28,220,628
"74","alaska",2014,21,"5/24/14",NA,87,307,628
